CustomerID,recency,frequency,total_spent,recency_score,frequency_score,total_spent_score,RFM_SCORE,segment
12394,-310,2,1272.48,3,2,4,32,slipping_away
12395,-355,12,3018.63,4,5,5,45,steady_supporters
12397,-339,2,2409.9000000000005,3,2,5,32,slipping_away
12398,-329,1,1635.6599999999999,3,1,4,31,slipping_away
12399,-255,4,1108.65,2,4,4,24,high_risk
12401,-71,1,84.3,1,1,1,11,inactive_customers
12402,-51,1,225.6,1,1,1,11,inactive_customers
12403,-325,1,427.7,3,1,2,31,slipping_away
12405,-226,1,1710.3900000000003,2,1,4,21,inactive_customers
12406,-352,2,3415.3,4,2,5,42,loyalty_potential
12407,-325,5,1708.1199999999997,3,4,4,34,steady_supporters
12408,-342,5,2888.55,4,4,5,44,steady_supporters
12409,-296,3,11072.67,2,3,5,23,high_risk
12410,-66,2,693.3299999999999,1,2,3,12,inactive_customers
12412,-300,3,1226.88,2,3,4,23,high_risk
12413,-308,3,758.1,3,3,3,33,require_attention
12414,-157,3,562.41,1,3,3,13,high_risk
12415,-350,21,124914.53,4,5,5,45,steady_supporters
12417,-371,9,3649.1000000000004,5,5,5,55,brand_ambassadors
12418,-262,1,668.58,2,1,3,21,inactive_customers
12420,-311,1,600.3900000000001,3,1,3,31,slipping_away
12421,-359,4,807.0400000000001,4,4,3,44,steady_supporters
12422,-279,3,803.5599999999998,2,3,3,23,high_risk
12423,-374,8,1859.31,5,5,4,55,brand_ambassadors
12424,-212,2,1760.9599999999996,2,2,4,22,inactive_customers
12425,-296,1,777.1999999999999,2,1,3,21,inactive_customers
12426,-180,1,582.73,1,1,3,11,inactive_customers
12427,-353,3,825.8,4,3,3,43,loyalty_potential
12428,-348,9,7956.46,4,5,5,45,steady_supporters
12429,-365,4,3750.4,5,4,5,54,brand_ambassadors
12430,-331,1,256.4,3,1,2,31,slipping_away
12431,-339,15,6419.950000000001,3,5,5,35,steady_supporters
12432,-332,5,5059.319999999999,3,4,5,34,steady_supporters
12433,-374,7,13375.87,5,5,5,55,brand_ambassadors
12434,-290,2,806.14,2,2,3,22,inactive_customers
12435,-295,2,7829.890000000001,2,2,5,22,inactive_customers
12436,-275,1,509.01000000000005,2,1,3,21,inactive_customers
12437,-373,18,4951.41,5,5,5,55,brand_ambassadors
12438,-360,2,2906.8500000000004,4,2,5,42,loyalty_potential
12441,-8,1,173.55,1,1,1,11,inactive_customers
12442,-371,1,172.06,5,1,1,51,new_customers
12444,-353,5,5005.46,4,4,5,44,steady_supporters
12445,-352,1,133.4,4,1,1,41,recently_onboarded
12446,-317,1,1002.3100000000001,3,1,4,31,slipping_away
12447,-131,1,476.49,1,1,2,11,inactive_customers
12448,-330,1,449.4500000000001,3,1,2,31,slipping_away
12449,-352,4,4067.2900000000004,4,4,5,44,steady_supporters
12450,-218,2,197.88,2,2,1,22,inactive_customers
12451,-364,5,9035.52,5,4,5,54,brand_ambassadors
12452,-358,2,430.57,4,2,2,42,loyalty_potential
12453,-240,1,707.0899999999999,2,1,3,21,inactive_customers
12454,-318,1,3528.34,3,1,5,31,slipping_away
12455,-301,6,2466.8599999999997,2,4,5,24,high_risk
12456,-330,3,3181.04,3,3,5,33,require_attention
12457,-308,7,2363.23,3,5,5,35,steady_supporters
12458,-303,2,947.4,3,2,4,32,slipping_away
12461,-280,2,826.88,2,2,3,22,inactive_customers
12462,-356,2,1189.5900000000001,4,2,4,42,loyalty_potential
12463,-321,4,1344.7800000000002,3,4,4,34,steady_supporters
12464,-364,8,1212.05,5,5,4,55,brand_ambassadors
12465,-357,2,742.19,4,2,3,42,loyalty_potential
12468,-187,2,729.54,1,2,3,12,inactive_customers
12471,-372,30,19788.65,5,5,5,55,brand_ambassadors
12472,-342,7,6572.110000000001,4,5,5,45,steady_supporters
12473,-345,5,3928.05,4,4,5,44,steady_supporters
12474,-357,18,7324.089999999999,4,5,5,45,steady_supporters
12475,-321,1,723.3799999999999,3,1,3,31,slipping_away
12476,-359,11,6816.42,4,5,5,45,steady_supporters
12477,-352,6,13219.740000000002,4,4,5,44,steady_supporters
12478,-371,1,680.9900000000001,5,1,3,51,new_customers
12479,-363,1,527.2,5,1,3,51,new_customers
12480,-346,4,3281.6299999999997,4,4,5,44,steady_supporters
12481,-352,10,5579.82,4,5,5,45,steady_supporters
12483,-357,8,2484.98,4,5,5,45,steady_supporters
12484,-342,6,4527.32,4,4,5,44,steady_supporters
12488,-365,3,1298.6600000000003,5,3,4,53,loyalty_potential
12489,-38,1,334.92999999999995,1,1,2,11,inactive_customers
12490,-369,10,5417.93,5,5,5,55,brand_ambassadors
12491,-336,1,460.40000000000003,3,1,2,31,slipping_away
12492,-311,2,263.21,3,2,2,32,slipping_away
12493,-209,2,433.74,2,2,2,22,inactive_customers
12494,-359,7,1246.1,4,5,4,45,steady_supporters
12497,-293,1,1043.1,2,1,4,21,inactive_customers
12498,-353,3,403.7,4,3,2,43,loyalty_potential
12500,-351,11,4257.820000000001,4,5,5,45,steady_supporters
12501,-38,1,2169.3900000000003,1,1,5,11,inactive_customers
12502,-279,5,3723.87,2,4,5,24,high_risk
12504,-356,2,482.04999999999995,4,2,2,42,loyalty_potential
12506,-142,1,73.50000000000001,1,1,1,11,inactive_customers
12507,-240,3,1304.81,2,3,4,23,high_risk
12508,-348,2,397.88,4,2,2,42,loyalty_potential
12509,-90,1,176.5,1,1,1,11,inactive_customers
12510,-232,2,982.5699999999999,2,2,4,22,inactive_customers
12512,-308,2,132.18,3,2,1,32,slipping_away
12513,-262,1,612.2900000000001,2,1,3,21,inactive_customers
12514,-107,1,1017.6800000000001,1,1,4,11,inactive_customers
12515,-21,1,383.70000000000005,1,1,2,11,inactive_customers
12516,-297,2,1312.06,2,2,4,22,inactive_customers
12517,-346,5,2481.6,4,4,5,44,steady_supporters
12518,-374,5,2056.89,5,4,5,54,brand_ambassadors
12519,-311,1,330.84000000000003,3,1,2,31,slipping_away
12520,-295,5,2634.26,2,4,5,24,high_risk
12521,-232,1,599.68,2,1,3,21,inactive_customers
12522,-335,2,192.72000000000003,3,2,1,32,slipping_away
12523,-355,11,1789.77,4,5,4,45,steady_supporters
12524,-365,8,4485.719999999999,5,5,5,55,brand_ambassadors
12526,-374,3,1316.6600000000003,5,3,4,53,loyalty_potential
12527,-293,3,348.71000000000004,2,3,2,23,high_risk
12528,-365,6,1933.4800000000002,5,5,4,55,brand_ambassadors
12530,-315,4,1662.28,3,4,4,34,steady_supporters
12531,-360,1,125.22,4,1,1,41,recently_onboarded
12532,-344,1,349.83000000000004,4,1,2,41,recently_onboarded
12534,-244,1,1089.18,2,1,4,21,inactive_customers
12535,-283,2,716.35,2,2,3,22,inactive_customers
12536,-331,3,12601.830000000002,3,3,5,33,require_attention
12538,-345,1,363.95,4,1,2,41,recently_onboarded
12539,-352,4,5568.349999999999,4,4,5,44,steady_supporters
12540,-355,17,13400.24,4,5,5,45,steady_supporters
12541,-345,3,981.1800000000002,4,3,4,43,loyalty_potential
12544,-338,1,372.70000000000005,3,1,2,31,slipping_away
12545,-299,2,1000.39,2,2,4,22,inactive_customers
12546,-328,2,1161.5,3,2,4,32,slipping_away
12547,-177,2,207.8,1,2,1,12,inactive_customers
12548,-208,1,95.19999999999999,2,1,1,21,inactive_customers
12550,-295,1,964.83,2,1,4,21,inactive_customers
12551,-17,1,168.0,1,1,1,11,inactive_customers
12552,-336,2,437.82,3,2,2,32,slipping_away
12553,-366,10,3692.2799999999997,5,5,5,55,brand_ambassadors
12556,-324,2,599.56,3,2,3,32,slipping_away
12557,-358,5,11990.96,4,4,5,44,steady_supporters
12558,-367,1,269.96000000000004,5,1,2,51,new_customers
12559,-64,2,561.7099999999999,1,2,3,12,inactive_customers
12560,-369,3,2134.01,5,3,5,53,loyalty_potential
12561,-72,1,238.85,1,1,1,11,inactive_customers
12562,-366,7,3781.74,5,5,5,55,brand_ambassadors
12564,-113,1,456.90000000000003,1,1,2,11,inactive_customers
12565,-86,1,145.92000000000002,1,1,1,11,inactive_customers
12566,-288,1,351.65,2,1,2,21,inactive_customers
12567,-352,10,9401.279999999999,4,5,5,45,steady_supporters
12569,-372,32,4124.6900000000005,5,5,5,55,brand_ambassadors
12571,-335,2,519.61,3,2,3,32,slipping_away
12572,-366,2,1020.42,5,2,4,52,loyalty_potential
12573,-147,1,160.54,1,1,1,11,inactive_customers
12574,-59,1,218.45000000000002,1,1,1,11,inactive_customers
12576,-339,5,1315.83,3,4,4,34,steady_supporters
12577,-339,3,626.5999999999999,3,3,3,33,require_attention
12578,-353,2,2794.5099999999998,4,2,5,42,loyalty_potential
12579,-296,1,440.41999999999996,2,1,2,21,inactive_customers
12580,-128,1,415.70000000000005,1,1,2,11,inactive_customers
12581,-335,1,197.70999999999998,3,1,1,31,slipping_away
12582,-136,2,511.3599999999999,1,2,3,12,inactive_customers
12583,-371,15,7281.379999999999,5,5,5,55,brand_ambassadors
12584,-371,9,2338.1500000000005,5,5,5,55,brand_ambassadors
12585,-140,2,2040.0999999999997,1,2,4,12,inactive_customers
12586,-357,1,196.94000000000003,4,1,1,41,recently_onboarded
12587,-367,1,144.0,5,1,1,51,new_customers
12588,-335,1,214.89999999999998,3,1,1,31,slipping_away
12589,-346,2,646.6800000000001,4,2,3,42,loyalty_potential
12590,-163,2,9864.26,1,2,5,12,inactive_customers
12591,-57,1,452.84999999999997,1,1,2,11,inactive_customers
12592,-282,2,437.6,2,2,2,22,inactive_customers
12593,-266,3,418.0999999999999,2,3,2,23,high_risk
12594,-337,10,3338.2200000000003,3,5,5,35,steady_supporters
12596,-323,2,618.27,3,2,3,32,slipping_away
12597,-355,4,3811.2199999999993,4,4,5,44,steady_supporters
12598,-365,8,3023.08,5,5,5,55,brand_ambassadors
12599,-345,7,1032.5800000000004,4,5,4,45,steady_supporters
12600,-346,10,2599.04,4,5,5,45,steady_supporters
12601,-185,5,577.0600000000001,1,4,3,14,high_risk
12602,-316,1,153.12,3,1,1,31,slipping_away
12603,-353,1,739.1999999999999,4,1,3,41,recently_onboarded
12604,-295,2,254.17999999999998,2,2,2,22,inactive_customers
12607,-314,1,1579.51,3,1,4,31,slipping_away
12609,-296,3,1126.8500000000001,2,3,4,23,high_risk
12610,-352,5,2099.54,4,4,5,44,steady_supporters
12611,-322,1,1193.32,3,1,4,31,slipping_away
12612,-300,1,704.04,2,1,3,21,inactive_customers
12613,-317,5,3344.38,3,4,5,34,steady_supporters
12614,-97,1,315.59999999999997,1,1,2,11,inactive_customers
12615,-372,4,2291.1899999999996,5,4,5,54,brand_ambassadors
12616,-279,2,713.3,2,2,3,22,inactive_customers
12617,-345,1,352.97999999999996,4,1,2,41,recently_onboarded
12618,-353,1,177.31,4,1,1,41,recently_onboarded
12619,-358,9,3641.24,4,5,5,45,steady_supporters
12620,-360,3,1339.41,4,3,4,43,loyalty_potential
12621,-373,20,13689.67,5,5,5,55,brand_ambassadors
12622,-142,1,180.09999999999997,1,1,1,11,inactive_customers
12623,-98,1,305.1,1,1,2,11,inactive_customers
12624,-268,2,641.13,2,2,3,22,inactive_customers
12625,-163,2,2683.82,1,2,5,12,inactive_customers
12626,-351,9,6620.48,4,5,5,45,steady_supporters
12627,-364,7,4478.530000000001,5,5,5,55,brand_ambassadors
12628,-370,3,786.4599999999999,5,3,3,53,loyalty_potential
12630,-365,2,1270.88,5,2,4,52,loyalty_potential
12631,-317,1,640.5,3,1,3,31,slipping_away
12633,-316,4,2163.98,3,4,5,34,steady_supporters
12635,-285,2,1689.1800000000003,2,2,4,22,inactive_customers
12637,-307,8,6002.9,3,5,5,35,steady_supporters
12638,-341,1,671.69,3,1,3,31,slipping_away
12639,-136,1,486.1,1,1,2,11,inactive_customers
12640,-351,3,1174.58,4,3,4,43,loyalty_potential
12641,-259,1,185.9,2,1,1,21,inactive_customers
12642,-349,3,1013.26,4,3,4,43,loyalty_potential
12643,-246,6,3344.6399999999994,2,5,5,25,recoverable_customers
12644,-245,1,477.90999999999997,2,1,2,21,inactive_customers
12645,-341,4,1775.1800000000003,3,4,4,34,steady_supporters
12646,-370,2,1346.97,5,2,4,52,loyalty_potential
12647,-352,12,3722.82,4,5,5,45,steady_supporters
12648,-220,1,318.04999999999995,2,1,2,21,inactive_customers
12649,-267,3,623.51,2,3,3,23,high_risk
12650,-371,1,314.44,5,1,2,51,new_customers
12651,-40,1,114.0,1,1,1,11,inactive_customers
12652,-43,1,919.98,1,1,3,11,inactive_customers
12653,-226,2,2209.85,2,2,5,22,inactive_customers
12654,-364,5,601.9799999999999,5,4,3,54,brand_ambassadors
12656,-357,5,4051.17,4,4,5,44,steady_supporters
12657,-363,4,1643.18,5,4,4,54,brand_ambassadors
12658,-356,1,686.05,4,1,3,41,recently_onboarded
12659,-345,1,91.68,4,1,1,41,recently_onboarded
12660,-363,1,245.10000000000002,5,1,1,51,new_customers
12662,-374,11,3849.7799999999997,5,5,5,55,brand_ambassadors
12664,-366,9,4881.88,5,5,5,55,brand_ambassadors
12665,-50,1,63.0,1,1,1,11,inactive_customers
12667,-316,1,620.1300000000001,3,1,3,31,slipping_away
12668,-363,4,3807.15,5,4,5,54,brand_ambassadors
12669,-224,3,2744.03,2,3,5,23,high_risk
12670,-364,5,2996.0500000000006,5,4,5,54,brand_ambassadors
12672,-45,1,225.9,1,1,1,11,inactive_customers
12673,-369,2,610.52,5,2,3,52,loyalty_potential
12674,-336,4,1970.6000000000001,3,4,4,34,steady_supporters
12676,-350,6,1331.39,4,5,4,45,steady_supporters
12678,-332,12,17628.46,3,5,5,35,steady_supporters
12679,-316,4,1113.02,3,4,4,34,steady_supporters
12680,-374,4,862.8100000000002,5,4,3,54,brand_ambassadors
12681,-360,22,13787.54,4,5,5,45,steady_supporters
12682,-371,31,12279.82,5,5,5,55,brand_ambassadors
12683,-370,15,8476.57,5,5,5,55,brand_ambassadors
12684,-367,7,2283.63,5,5,5,55,brand_ambassadors
12685,-346,6,2863.08,4,5,5,45,steady_supporters
12686,-3,1,89.14,1,1,1,11,inactive_customers
12688,-261,1,4873.8099999999995,2,1,5,21,inactive_customers
12689,-349,2,1247.61,4,2,4,42,loyalty_potential
12690,-169,1,389.01,1,1,2,11,inactive_customers
12691,-346,6,1035.8,4,5,4,45,steady_supporters
12693,-247,4,855.91,2,4,3,24,high_risk
12694,-304,2,869.67,3,2,3,32,slipping_away
12695,-367,4,582.1,5,4,3,54,brand_ambassadors
12697,-346,3,957.5899999999999,4,3,4,43,loyalty_potential
12700,-367,4,4939.99,5,4,5,54,brand_ambassadors
12701,-295,2,797.71,2,2,3,22,inactive_customers
12702,-355,1,219.0,4,1,1,41,recently_onboarded
12703,-303,1,283.55,3,1,2,31,slipping_away
12704,-367,8,2340.8399999999997,5,5,5,55,brand_ambassadors
12705,-359,9,6868.290000000001,4,5,5,45,steady_supporters
12707,-83,1,603.42,1,1,3,11,inactive_customers
12708,-345,10,2712.91,4,5,5,45,steady_supporters
12709,-359,15,9706.52,4,5,5,45,steady_supporters
12710,-278,3,1149.0200000000002,2,3,4,23,high_risk
12712,-345,13,4396.13,4,5,5,45,steady_supporters
12713,-374,1,848.5500000000001,5,1,3,51,new_customers
12714,-365,5,4708.860000000001,5,4,5,54,brand_ambassadors
12715,-268,1,343.35999999999996,2,1,2,21,inactive_customers
12716,-371,2,1053.4900000000002,5,2,4,52,loyalty_potential
12717,-223,2,1030.98,2,2,4,22,inactive_customers
12718,-303,1,238.25,3,1,1,31,slipping_away
12719,-369,2,644.95,5,2,3,52,loyalty_potential
12720,-371,25,5781.730000000001,5,5,5,55,brand_ambassadors
12721,-343,6,2656.13,4,5,5,45,steady_supporters
12722,-289,4,997.6300000000001,2,4,4,24,high_risk
12723,-371,5,725.07,5,4,3,54,brand_ambassadors
12724,-369,4,1031.4099999999999,5,4,4,54,brand_ambassadors
12725,-3,1,427.8,1,1,2,11,inactive_customers
12726,-346,7,2609.1,4,5,5,45,steady_supporters
12727,-364,7,3980.7000000000003,5,5,5,55,brand_ambassadors
12728,-303,4,836.3299999999999,3,4,3,34,steady_supporters
12729,-261,1,453.01000000000005,2,1,2,21,inactive_customers
12731,-351,12,18895.91,4,5,5,45,steady_supporters
12732,-195,1,236.26000000000005,2,1,1,21,inactive_customers
12733,-140,1,383.95000000000005,1,1,2,11,inactive_customers
12734,-22,1,110.39999999999999,1,1,1,11,inactive_customers
12735,-59,2,779.57,1,2,3,12,inactive_customers
12736,-41,1,234.00000000000003,1,1,1,11,inactive_customers
12738,-2,1,155.35,1,1,1,11,inactive_customers
12739,-296,2,1013.0400000000001,2,2,4,22,inactive_customers
12740,-311,1,427.59999999999997,3,1,2,31,slipping_away
12743,-240,2,540.13,2,2,3,22,inactive_customers
12744,-323,7,21279.29,3,5,5,35,steady_supporters
12747,-372,11,4196.009999999999,5,5,5,55,brand_ambassadors
12748,-374,210,33053.19,5,5,5,55,brand_ambassadors
12749,-371,5,4090.88,5,4,5,54,brand_ambassadors
12750,-246,1,275.88,2,1,2,21,inactive_customers
12752,-293,1,4366.780000000001,2,1,5,21,inactive_customers
12753,-352,6,21429.39,4,5,5,45,steady_supporters
12754,-139,3,3010.7400000000002,1,3,5,13,high_risk
12755,-94,2,3811.9499999999994,1,2,5,12,inactive_customers
12756,-288,1,112.08000000000001,2,1,1,21,inactive_customers
12757,-359,13,7834.650000000001,4,5,5,45,steady_supporters
12758,-258,2,2791.59,2,2,5,22,inactive_customers
12759,-322,3,1531.4400000000003,3,3,4,33,require_attention
12762,-367,2,1898.5200000000004,5,2,4,52,loyalty_potential
12763,-236,2,494.08000000000004,2,2,3,22,inactive_customers
12764,-58,1,1693.88,1,1,4,11,inactive_customers
12766,-371,7,6989.63,5,5,5,55,brand_ambassadors
12769,-136,1,1143.6,1,1,4,11,inactive_customers
12770,-164,1,1351.4499999999998,1,1,4,11,inactive_customers
12772,-315,1,892.4700000000001,3,1,3,31,slipping_away
12775,-357,5,1386.0400000000002,4,4,4,44,steady_supporters
12778,-355,6,822.23,4,5,3,45,steady_supporters
12779,-337,8,3981.3599999999997,3,5,5,35,steady_supporters
12781,-311,2,826.74,3,2,3,32,slipping_away
12782,-370,5,2330.9200000000005,5,4,5,54,brand_ambassadors
12783,-372,6,2225.91,5,5,5,55,brand_ambassadors
12784,-365,2,532.8199999999999,5,2,3,52,loyalty_potential
12785,-10,1,311.95,1,1,2,11,inactive_customers
12787,-365,3,463.65999999999997,5,3,2,53,loyalty_potential
12789,-309,1,91.85000000000001,3,1,1,31,slipping_away
12790,-182,1,324.9200000000001,1,1,2,11,inactive_customers
12791,-1,1,192.60000000000002,1,1,1,11,inactive_customers
12792,-118,1,400.53999999999996,1,1,2,11,inactive_customers
12793,-40,2,545.48,1,2,3,12,inactive_customers
12794,-321,2,860.41,3,2,3,32,slipping_away
12795,-356,1,430.48,4,1,2,41,recently_onboarded
12797,-9,1,254.03,1,1,2,11,inactive_customers
12798,-364,3,6977.04,5,3,5,53,loyalty_potential
12802,-188,1,427.58,1,1,2,11,inactive_customers
12808,-338,3,483.65000000000003,3,3,2,33,require_attention
12809,-197,1,489.31,2,1,3,21,inactive_customers
12811,-114,3,514.8499999999999,1,3,3,13,high_risk
12812,-330,1,229.64,3,1,1,31,slipping_away
12814,-273,1,125.92,2,1,1,21,inactive_customers
12815,-227,2,1063.46,2,2,4,22,inactive_customers
12816,-279,2,572.2,2,2,3,22,inactive_customers
12817,-93,1,166.04,1,1,1,11,inactive_customers
12818,-113,1,1542.08,1,1,4,11,inactive_customers
12820,-371,4,942.34,5,4,4,54,brand_ambassadors
12821,-160,1,92.72,1,1,1,11,inactive_customers
12822,-304,2,948.8800000000002,3,2,4,32,slipping_away
12823,-299,5,1759.5,2,4,4,24,high_risk
12824,-315,1,397.11999999999995,3,1,2,31,slipping_away
12826,-372,7,1474.72,5,5,4,55,brand_ambassadors
12827,-369,3,430.15,5,3,2,53,loyalty_potential
12828,-372,6,1018.71,5,5,4,55,brand_ambassadors
12829,-38,2,293.0,1,2,2,12,inactive_customers
12830,-337,6,6814.640000000001,3,5,5,35,steady_supporters
12831,-112,1,215.05,1,1,1,11,inactive_customers
12832,-342,2,383.03000000000003,4,2,2,42,loyalty_potential
12833,-229,1,417.38,2,1,2,21,inactive_customers
12834,-92,1,312.38,1,1,2,11,inactive_customers
12836,-315,4,2610.3599999999997,3,4,5,34,steady_supporters
12837,-201,1,134.1,2,1,1,21,inactive_customers
12838,-341,2,671.95,3,2,3,32,slipping_away
12839,-372,14,5591.42,5,5,5,55,brand_ambassadors
12840,-231,4,2726.77,2,4,5,24,high_risk
12841,-370,25,3991.5800000000004,5,5,5,55,brand_ambassadors
12842,-304,2,1118.99,3,2,4,32,slipping_away
12843,-309,8,1702.2600000000002,3,5,4,35,steady_supporters
12844,-345,2,325.96,4,2,2,42,loyalty_potential
12845,-107,4,354.09,1,4,2,14,high_risk
12847,-352,1,843.6399999999999,4,1,3,41,recently_onboarded
12849,-343,2,1010.2900000000001,4,2,4,42,loyalty_potential
12851,-278,1,131.80999999999997,2,1,1,21,inactive_customers
12852,-80,1,311.55,1,1,2,11,inactive_customers
12853,-240,6,1957.1000000000004,2,5,4,25,recoverable_customers
12854,-296,3,1316.2500000000002,2,3,4,23,high_risk
12855,-2,1,38.1,1,1,1,11,inactive_customers
12856,-367,6,2170.7799999999997,5,5,5,55,brand_ambassadors
12857,-164,2,1106.4,1,2,4,12,inactive_customers
12863,-322,1,521.2,3,1,3,31,slipping_away
12864,-236,1,147.12,2,1,1,21,inactive_customers
12865,-348,2,1568.23,4,2,4,42,loyalty_potential
12866,-91,1,559.12,1,1,3,11,inactive_customers
12867,-348,7,4009.3399999999997,4,5,5,45,steady_supporters
12868,-189,6,1607.0600000000002,1,5,4,15,recoverable_customers
12871,-290,2,380.64000000000004,2,2,2,22,inactive_customers
12872,-48,2,599.9700000000001,1,2,3,12,inactive_customers
12873,-92,1,374.0,1,1,2,11,inactive_customers
12875,-231,2,343.2300000000001,2,2,2,22,inactive_customers
12876,-317,2,2218.020000000001,3,2,5,32,slipping_away
12877,-371,12,1535.7700000000002,5,5,4,55,brand_ambassadors
12878,-138,2,854.99,1,2,3,12,inactive_customers
12879,-330,3,573.22,3,3,3,33,require_attention
12881,-99,1,298.0,1,1,2,11,inactive_customers
12882,-365,2,1463.0399999999997,5,2,4,52,loyalty_potential
12883,-350,4,703.47,4,4,3,44,steady_supporters
12884,-286,1,309.05000000000007,2,1,2,21,inactive_customers
12885,-311,3,1175.2199999999998,3,3,4,33,require_attention
12886,-307,2,1378.3999999999999,3,2,4,32,slipping_away
12888,-160,2,354.12,1,2,2,12,inactive_customers
12890,-350,1,376.71999999999997,4,1,2,41,recently_onboarded
12891,-189,3,331.0,1,3,2,13,high_risk
12893,-344,1,176.54999999999998,4,1,1,41,recently_onboarded
12895,-332,2,372.8,3,2,2,32,slipping_away
12897,-170,2,216.5,1,2,1,12,inactive_customers
12901,-366,28,17654.539999999997,5,5,5,55,brand_ambassadors
12902,-110,1,138.67999999999998,1,1,1,11,inactive_customers
12904,-356,2,496.06,4,2,3,42,loyalty_potential
12906,-363,5,2919.81,5,4,5,54,brand_ambassadors
12908,-198,2,750.0,2,2,3,22,inactive_customers
12909,-335,5,2178.67,3,4,5,34,steady_supporters
12910,-351,8,3075.0400000000004,4,5,5,45,steady_supporters
12912,-372,5,1662.3,5,4,4,54,brand_ambassadors
12913,-370,5,2483.6299999999997,5,4,5,54,brand_ambassadors
12915,-226,2,363.65,2,2,2,22,inactive_customers
12916,-236,4,2944.95,2,4,5,24,high_risk
12917,-246,1,594.0,2,1,3,21,inactive_customers
12919,-366,6,1335.19,5,5,4,55,brand_ambassadors
12920,-357,1,162.77999999999997,4,1,1,41,recently_onboarded
12921,-365,37,16587.09,5,5,5,55,brand_ambassadors
12922,-213,1,405.38,2,1,2,21,inactive_customers
12923,-310,1,172.81999999999996,3,1,1,31,slipping_away
12924,-286,4,933.7000000000002,2,4,4,24,high_risk
12925,-370,2,694.05,5,2,3,52,loyalty_potential
12928,-339,5,2062.7,3,4,5,34,steady_supporters
12929,-63,1,117.85,1,1,1,11,inactive_customers
12930,-296,2,415.8,2,2,2,22,inactive_customers
12931,-353,15,42055.96,4,5,5,45,steady_supporters
12933,-350,3,607.53,4,3,3,43,loyalty_potential
12935,-372,7,2160.7,5,5,5,55,brand_ambassadors
12936,-357,4,1063.8999999999999,4,4,4,44,steady_supporters
12937,-359,4,1504.2700000000002,4,4,4,44,steady_supporters
12938,-349,1,114.13999999999999,4,1,1,41,recently_onboarded
12939,-310,8,11581.800000000001,3,5,5,35,steady_supporters
12940,-320,2,899.69,3,2,3,32,slipping_away
12942,-243,3,675.6,2,3,3,23,high_risk
12944,-339,2,604.5099999999999,3,2,3,32,slipping_away
12945,-86,1,462.95000000000005,1,1,2,11,inactive_customers
12947,-231,6,1603.99,2,5,4,25,recoverable_customers
12948,-358,7,2064.95,4,5,5,45,steady_supporters
12949,-344,8,4167.22,4,5,5,45,steady_supporters
12950,-372,3,1843.0,5,3,4,53,loyalty_potential
12951,-366,6,1064.07,5,5,4,55,brand_ambassadors
12952,-369,4,1387.79,5,4,4,54,brand_ambassadors
12953,-365,1,329.85,5,1,2,51,new_customers
12955,-373,11,4757.160000000001,5,5,5,55,brand_ambassadors
12956,-68,1,108.07,1,1,1,11,inactive_customers
12957,-365,8,4017.54,5,5,5,55,brand_ambassadors
12962,-367,2,266.39,5,2,2,52,loyalty_potential
